      V(6)              V(3)        {(I(RR2)+I(RR1))/2}  {I(RR2)-I(RR1)} 
  -7.07000000e-02   -6.16414454e-01    1.06265344e-06   -4.91396185e-07
  -7.06000000e-02   -6.16414454e-01    1.06247875e-06   -4.90695600e-07
  -7.05000000e-02   -6.16414454e-01    1.06230423e-06   -4.89994999e-07
  -7.04000000e-02   -6.16414454e-01    1.06212991e-06   -4.89294382e-07
  -7.03000000e-02   -6.16414454e-01    1.06195577e-06   -4.88593749e-07
  -7.02000000e-02   -6.16414454e-01    1.06178183e-06   -4.87893101e-07
  -7.01000000e-02   -6.16414454e-01    1.06160806e-06   -4.87192439e-07
  -7.00000000e-02   -6.16414454e-01    1.06143449e-06   -4.86491761e-07
  -6.99000000e-02   -6.16414453e-01    1.06126111e-06   -4.85791069e-07
  -6.98000000e-02   -6.16414453e-01    1.06108791e-06   -4.85090363e-07
  -6.97000000e-02   -6.16414453e-01    1.06091491e-06   -4.84389642e-07
  -6.96000000e-02   -6.16414453e-01    1.06074209e-06   -4.83688908e-07
  -6.95000000e-02   -6.16414453e-01    1.06056946e-06   -4.82988161e-07
  -6.94000000e-02   -6.16414453e-01    1.06039702e-06   -4.82287400e-07
  -6.93000000e-02   -6.16414453e-01    1.06022477e-06   -4.81586626e-07
  -6.92000000e-02   -6.16414453e-01    1.06005271e-06   -4.80885840e-07
  -6.91000000e-02   -6.16414453e-01    1.05988085e-06   -4.80185041e-07
  -6.90000000e-02   -6.16414453e-01    1.05970917e-06   -4.79484230e-07
  -6.89000000e-02   -6.16414452e-01    1.05953768e-06   -4.78783408e-07
  -6.88000000e-02   -6.16414452e-01    1.05936638e-06   -4.78082573e-07
  -6.87000000e-02   -6.16414452e-01    1.05919528e-06   -4.77381727e-07
  -6.86000000e-02   -6.16414452e-01    1.05902437e-06   -4.76680870e-07
  -6.85000000e-02   -6.16414452e-01    1.05885364e-06   -4.75980002e-07
  -6.84000000e-02   -6.16414452e-01    1.05868311e-06   -4.75279123e-07
  -6.83000000e-02   -6.16414452e-01    1.05851278e-06   -4.74578234e-07
  -6.82000000e-02   -6.16414452e-01    1.05834263e-06   -4.73877335e-07
  -6.81000000e-02   -6.16414452e-01    1.05817268e-06   -4.73176426e-07
  -6.80000000e-02   -6.16414452e-01    1.05800292e-06   -4.72475507e-07
  -6.79000000e-02   -6.16414451e-01    1.05783335e-06   -4.71774578e-07
  -6.78000000e-02   -6.16414451e-01    1.05766398e-06   -4.71073641e-07
  -6.77000000e-02   -6.16414451e-01    1.05749480e-06   -4.70372695e-07
  -6.76000000e-02   -6.16414451e-01    1.05732581e-06   -4.69671739e-07
  -6.75000000e-02   -6.16414451e-01    1.05715702e-06   -4.68970776e-07
  -6.74000000e-02   -6.16414451e-01    1.05698842e-06   -4.68269804e-07
  -6.73000000e-02   -6.16414451e-01    1.05682001e-06   -4.67568824e-07
  -6.72000000e-02   -6.16414451e-01    1.05665180e-06   -4.66867837e-07
  -6.71000000e-02   -6.16414451e-01    1.05648379e-06   -4.66166842e-07
  -6.70000000e-02   -6.16414451e-01    1.05631597e-06   -4.65465840e-07
  -6.69000000e-02   -6.16414450e-01    1.05614834e-06   -4.64764830e-07
  -6.68000000e-02   -6.16414450e-01    1.05598092e-06   -4.64063814e-07
  -6.67000000e-02   -6.16414450e-01    1.05581368e-06   -4.63362792e-07
  -6.66000000e-02   -6.16414450e-01    1.05564664e-06   -4.62661763e-07
  -6.65000000e-02   -6.16414450e-01    1.05547980e-06   -4.61960728e-07
  -6.64000000e-02   -6.16414450e-01    1.05531316e-06   -4.61259687e-07
  -6.63000000e-02   -6.16414450e-01    1.05514671e-06   -4.60558640e-07
